name,artist,genre
My Time After Awhile,Buddy Guy,soul-blues
Wish I Didn't Miss You,Angie Stone,soul-blues
Crossroads,John Mayer,soul-blues
You Are Everything,The Stylistics,soul-blues
Hold on I'm Coming,Eric Clapton,soul-blues
Feels Like Rain,Buddy Guy,soul-blues
ABC,The Jackson 5,soul-blues
I Wish It Would Rain,The Temptations,soul-blues
They Call Me Muddy Waters,Muddy Waters,soul-blues
"It's A Man's, Man's, Man's World",James Brown,soul-blues
That's How Strong My Love Is,Otis Redding,soul-blues
Tell Me What We're Gonna Do Now,Joss Stone,soul-blues
Moanin' For My Baby,Howlin' Wolf,soul-blues
Walking the Dog,Rufus Thomas,soul-blues
The Things (That) I Used to Do,Stevie Ray Vaughan,soul-blues
Dirty Pool,Stevie Ray Vaughan,soul-blues
By Your Side,Sade,soul-blues
Crawling King Snake,John Lee Hooker,soul-blues
Nightshift,Commodores,soul-blues
Oh Pretty Woman,Gary Moore,soul-blues
I'll Take Care Of You,Joe Bonamassa,soul-blues
You Don't Know My Mind,Hugh Laurie,soul-blues
Somebody In My Home,Howlin' Wolf,soul-blues
Don't Know Why,Norah Jones,soul-blues
Sunday Kind Of Love,Etta James,soul-blues
Double Crossing Time,John Mayall & The Bluesbreakers,soul-blues
Everything Is Everything,Ms. Lauryn Hill,soul-blues
Home Again,Michael Kiwanuka,soul-blues
I'm Still In Love With You,Al Green,soul-blues
Papa's Got a Brand New Bag,James Brown,soul-blues
Tell Me 'Bout It,Joss Stone,soul-blues
Dream A Little Dream Of Me,Ella Fitzgerald,soul-blues
Come Rain or Come Shine,Eric Clapton,soul-blues
Crosscut Saw,Albert King,soul-blues
Tainted Love,Martha Reeves,soul-blues
Through The Thorns,Eric Sardinas,soul-blues
Your Easy Lovin' Ain't Pleasin' Nothin',Mayer Hawthorne,soul-blues
Cruisin',D'Angelo,soul-blues
You're All I Need To Get By,Marvin Gaye,soul-blues
I Walk the Line,Johnny Cash,soul-blues
Proud Mary,Tina Turner,soul-blues
Let The Good Times Roll,B.B. King,soul-blues
What's Going On,Marvin Gaye,soul-blues
"Come On, Pt. III",Stevie Ray Vaughan,soul-blues
Here We Go Again (with Norah Jones),Ray Charles,soul-blues
You Shook Me,Led Zeppelin,soul-blues
,,soul-blues
You Ought To Be With Me,Al Green,soul-blues
Isn't She Lovely,Stevie Wonder,soul-blues
I Heard It Through The Grapevine,Gladys Knight & The Pips,soul-blues
The Price You Gotta Pay featuring Keith Richards,Buddy Guy,soul-blues
I'm In The Mood,John Lee Hooker,soul-blues
Sunny,Bobby Hebb,soul-blues
I'm Coming Out,Diana Ross,soul-blues
Easy,Commodores,soul-blues
Change My Way,Howlin' Wolf,soul-blues
Alabama Bound,Lead Belly,soul-blues
To Zion,Ms. Lauryn Hill,soul-blues
I Drink Alone,George Thorogood & The Destroyers,soul-blues
