name,artist,genre
Valses nobles et sentimentales: VIII. Epilogue,Maurice Ravel,classical-opera
The Power of Love,Peter Gill,classical-opera
Your Changes Have Been Submitted,Christina Vantzou,classical-opera
Nessun Dorma,Giacomo Puccini,classical-opera
Whispers,The National Lutheran Choir,classical-opera
"Carmen, Act I, No.6 bis Récit: José! / Micaëla (Don José/Micaëla) No.7 Duo: Parle-moi de ma mère (Don José/Micaëla)",Roberto Alagna,classical-opera
"Crouching Tiger, Hidden Dragon",Tan Dun,classical-opera
"Verdi: La traviata, Act 1 Scene 5: ""Ah, fors'è lui lui che I'anima"" (Violetta)",Giuseppe Verdi,classical-opera
Legends of the Fall,James Horner,classical-opera
"Tristan und Isolde, WWV 90: Act I: Prelude",Richard Wagner,classical-opera
"Kinderszenen (Scenes of Childhood), Op. 15: VII. Traumerei (Dreaming)",Robert Schumann,classical-opera
O Mio Bambino Caro (Gianni Schicchi),Giacomo Puccini,classical-opera
"Magnificat in D, BWV 243: II. Et exultavit",Johann Sebastian Bach,classical-opera
"Carmen, Act IV, No.27 Duo et Choeur final: Tu m'aimes donc plus (Don José/Carmen/Choeurs)",Roberto Alagna,classical-opera
"Die Zauberflöte, K.620 / Act 2: ""Der Hölle Rache kocht in meinem Herzen""",Wolfgang Amadeus Mozart,classical-opera
"Don Giovanni: Don Giovanni, Overture",RAI Symphony Orchestra & Chorus of Rome,classical-opera
L'ultima canzone,Francesco Paolo Tosti,classical-opera
"14 Songs, Op. 34: Vocalise, Op. 34, No. 14",Sergei Rachmaninoff,classical-opera
La traviata: Act II: Noi siamo zingarelle,Giuseppe Verdi,classical-opera
O sacrum convivium!,Olivier Messiaen,classical-opera
"Puccini: Tosca, Act 2: ""Vissi d'arte"" (Tosca)",Giacomo Puccini,classical-opera
"Carmen, Act III, No.24 Finale: Prends garde à toi Carmen (Don José/Le Dancaïro/Bohémiens et Bohémiennes/Le Remendado/Carmen/Micaëla/Frasquita/Mercédès)",Roberto Alagna,classical-opera
"Ariodante HWV 33 / Act 1: ""Coperta la frode""",George Frideric Handel,classical-opera
"Serenade In G Major: Eine Kleine Nachtmusik, K. 525: I. Allegro",Wolfgang Amadeus Mozart,classical-opera
Cloud Three,Henrik Schwarz,classical-opera
Violin Concerto in D Minor: Violin Concerto in D Minor: II. Langsam,Robert Schumann,classical-opera
Adagio con variazioni,Ottorino Respighi,classical-opera
"Piano Sonata No. 1 in F Minor, Op. 6 (orch. Rogal-Levitsky): Sonata No. 1, Op. 6: Marche Funebre",Vasily Rogal-Levitsky,classical-opera
