name,artist,genre
A Way of Life,Hans Zimmer,soundtracks
Down To Earth,Peter Gabriel,soundtracks
Bilbo's Song,Howard Shore,soundtracks
Helicarrier,Alan Silvestri,soundtracks
"Days of the Ring (feat. Annie Lennox Performing ""Into the West"")",Howard Shore,soundtracks
Main Titles,Trevor Morris,soundtracks
I'm Forrest... Forrest Gump,Alan Silvestri,soundtracks
The All Spark,Steve Jablonsky,soundtracks
The Cove,John Powell,soundtracks
Reindeer(s) Are Better Than People,Jonathan Groff,soundtracks
Quelqu'un M'a Dit,Carla Bruni,soundtracks
Finale,Daft Punk,soundtracks
Guilty of Being Innocent of Being Jack Sparrow,Hans Zimmer,soundtracks
Love Is an Open Door,Kristen Bell,soundtracks
Prologue,James Newton Howard,soundtracks
The Stairs of Cirith Ungol,Howard Shore,soundtracks
First Day,Thomas Newman,soundtracks
Si tu n'étais pas là,Fréhel,soundtracks
"Mind Heist (From ""The Inception Trailer"")",London Music Works,soundtracks
"Main Theme (From ""Schindler's List"")",Itzhak Perlman,soundtracks
Be Prepared,Jeremy Irons,soundtracks
Neighbors,Theophilus London,soundtracks
La dispute,Yann Tiersen,soundtracks
The Tour,James Newton Howard,soundtracks
A Thousand Years (feat. Steve Kazee),Christina Perri,soundtracks
Supercalifragilisticexpialidocious,Julie Andrews,soundtracks
Soir de fête,Yann Tiersen,soundtracks
Mother Knows Best,Donna Murphy,soundtracks
The Battle,Hans Zimmer,soundtracks
From Now On,The Features,soundtracks
Abraham's Daughter,Arcade Fire,soundtracks
Kiss the Girl,Samuel E. Wright,soundtracks
Sayuri's Theme,John Williams,soundtracks
Osgiliath Invaded (feat. Ben del Maestro),Howard Shore,soundtracks
First Date,Thomas Newman,soundtracks
We Could Go Home,James Newton Howard,soundtracks
Ben,Trevor Rabin,soundtracks
Greased Lightnin',John Travolta,soundtracks
Breadcrumbs,Thomas Newman,soundtracks
Earth,Hans Zimmer,soundtracks
No Meu Coração Você Vai Sempre Estar (You Will Be In My Heart),Ed Motta,soundtracks
Call of Duty Modern Warfare 2: Theme,Hans Zimmer,soundtracks
Elanor (feat. Sir James Galway),Howard Shore,soundtracks
Static,Thomas Newman,soundtracks
Yoda and the Younglings,John Williams,soundtracks
Journey to the Line,Hans Zimmer,soundtracks
Decepticons,Steve Jablonsky,soundtracks
Zorro's Theme,James Horner,soundtracks
You Make My Dreams,Daryl Hall & John Oates,soundtracks
Can't Slow Down,Jean-Yves Thibaudet,soundtracks
Hero,Regina Spektor,soundtracks
More Than Just the Spare,Kristen Anderson-Lopez,soundtracks
James Bond Theme,John Barry Orchestra,soundtracks
Going The Distance,Bill Conti,soundtracks
Some People Are Worth Melting For,Christophe Beck,soundtracks
Half Remembered Dream,Hans Zimmer,soundtracks
Reunion,Lisa Gerrard,soundtracks
Love Is Blindness,Jack White,soundtracks
What Shall We Die For,Hans Zimmer,soundtracks
The Paths of the Dead,Howard Shore,soundtracks
Darcy's Letter,English Chamber Orchestra,soundtracks
Kingdom Dance,Alan Menken,soundtracks
Super Mario Galaxy: Gusty Garden Galaxy,Koji Kondo,soundtracks
