name,artist,genre
Big Black Car,Gregory Alan Isakov,singer-songwriter
Shelter,Ray LaMontagne,singer-songwriter
Serious,Richard Hawley,singer-songwriter
Belle,Jack Johnson,singer-songwriter
Hurt,Johnny Cash,singer-songwriter
"Lover, You Should've Come Over",Jeff Buckley,singer-songwriter
Brown Eyed Girl,Van Morrison,singer-songwriter
Right Down the Line,Gerry Rafferty,singer-songwriter
"Promises, Promises",Incubus,singer-songwriter
Eloise,Paula Cole,singer-songwriter
(What A) Wonderful World,Art Garfunkel,singer-songwriter
If I Had Eyes,Jack Johnson,singer-songwriter
Tiger Mountain Peasant Song,Fleet Foxes,singer-songwriter
Sisters of Mercy,Leonard Cohen,singer-songwriter
Society,Eddie Vedder,singer-songwriter
The Greatest,Cat Power,singer-songwriter
Hopeful,Josh Ritter,singer-songwriter
I Got You,Jack Johnson,singer-songwriter
Sparrow,Joe Henry,singer-songwriter
Crying Shame,Jack Johnson,singer-songwriter
Jolene,Dolly Parton,singer-songwriter
A touch of kindness,Elliott Murphy,singer-songwriter
Mr. Pitiful,Matt Costa,singer-songwriter
Julie (Come Out of The Rain),Josh Rouse,singer-songwriter
Stay (Acoustic),Lisa Loeb,singer-songwriter
I And Love And You,The Avett Brothers,singer-songwriter
Last Request,Paolo Nutini,singer-songwriter
"Whiskey, Whiskey, Whiskey",John Mayer,singer-songwriter
Thank You,Dido,singer-songwriter
Postcards,James Blunt,singer-songwriter
Rumble Doll,Patti Scialfa,singer-songwriter
Mushaboom,Feist,singer-songwriter
Halo,Ane Brun,singer-songwriter
Such Great Heights,Iron & Wine,singer-songwriter
Full Moon Rising,Neil Halstead,singer-songwriter
For My Lover,Tracy Chapman,singer-songwriter
She Is Love,Parachute,singer-songwriter
"Walt Grace's Submarine Test, January 1967",John Mayer,singer-songwriter
If I Ever Get Around To Living,John Mayer,singer-songwriter
Dream A Little Dream Of Me,The Mamas & The Papas,singer-songwriter
Northern Sky,Nick Drake,singer-songwriter
